customer_id,customer_name,store_id,segment,lifetime_value,total_rentals,days_inactive,churn_score,churn_risk
242,Glenda Frazier,1,High Value,128.71,29,14,0.2362,Low Risk
84,Sara Perry,2,High Value,128.7,30,14,0.2302,Low Risk
196,Alma Austin,1,High Value,128.69,31,14,0.2242,Low Risk
448,Miguel Betancourt,1,High Value,127.73,27,0,0.2103,Low Risk
221,Bessie Morrison,1,High Value,127.73,27,14,0.2492,Low Risk
520,Mitchell Westmoreland,2,High Value,127.69,31,14,0.2252,Low Risk
141,Debbie Reyes,1,High Value,127.69,31,14,0.2252,Low Risk
38,Martha Gonzalez,1,High Value,127.66,34,14,0.2072,Low Risk
200,Jeanne Lawson,2,High Value,126.74,26,0,0.2173,Low Risk
436,Troy Quigley,1,High Value,126.73,27,14,0.2502,Low Risk
206,Terri Vasquez,1,High Value,126.73,27,14,0.2502,Low Risk
146,Jamie Rice,1,High Value,126.73,27,16,0.2557,Low Risk
108,Tracy Cole,1,High Value,126.72,28,0,0.2053,Low Risk
114,Grace Ellis,2,High Value,126.7,30,0,0.1933,Low Risk
482,Maurice Crawley,1,High Value,125.74,26,14,0.2571,Low Risk
426,Bradley Motley,1,High Value,125.74,26,14,0.2571,Low Risk
295,Daisy Bates,1,High Value,125.72,28,0,0.2063,Low Risk
147,Joanne Robertson,2,High Value,125.68,32,14,0.2212,Low Risk
354,Justin Ngo,2,High Value,125.67,33,0,0.1763,Low Risk
45,Janet Phillips,1,High Value,124.74,26,16,0.2637,Low Risk
89,Julia Flores,1,High Value,124.71,29,14,0.2402,Low Risk
198,Elsie Kelley,2,High Value,124.68,32,14,0.2222,Low Risk
129,Carrie Porter,1,High Value,124.66,34,14,0.2102,Low Risk
300,John Farnsworth,1,High Value,123.74,26,0,0.2203,Low Risk
2,Patricia Johnson,1,High Value,123.74,26,14,0.2591,Low Risk
506,Leslie Seward,2,High Value,123.72,28,14,0.2472,Low Risk
371,Billy Poulin,1,High Value,123.71,29,14,0.2412,Low Risk
27,Shirley Allen,2,High Value,123.7,30,14,0.2352,Low Risk
51,Alice Stewart,1,High Value,123.7,30,14,0.2352,Low Risk
30,Melissa King,1,High Value,123.66,34,14,0.2112,Low Risk
434,Eddie Tomlin,1,High Value,122.74,26,14,0.2601,Low Risk
92,Tina Simmons,2,High Value,122.74,26,14,0.2601,Low Risk
535,Javier Elrod,1,High Value,122.72,28,14,0.2482,Low Risk
163,Cathy Spencer,1,High Value,122.71,29,0,0.2033,Low Risk
244,Viola Hanson,2,High Value,122.7,30,0,0.1973,Low Risk
473,Jorge Olivares,2,High Value,122.69,31,14,0.2302,Low Risk
508,Milton Howland,2,High Value,121.77,23,0,0.2402,Low Risk
166,Lynn Payne,1,High Value,121.73,27,14,0.2552,Low Risk
497,Gilbert Sledge,2,High Value,121.73,27,0,0.2163,Low Risk
451,Jim Rea,1,High Value,121.7,30,17,0.2455,Low Risk
438,Barry Lovelace,1,High Value,121.7,30,0,0.1983,Low Risk
406,Nathan Runyon,1,High Value,121.69,31,14,0.2312,Low Risk
491,Rick Mattox,2,High Value,120.75,25,14,0.2681,Low Risk
179,Dana Hart,1,High Value,120.74,26,14,0.2621,Low Risk
423,Alfred Casillas,2,High Value,120.74,26,14,0.2621,Low Risk
499,Marc Outlaw,2,High Value,120.71,29,14,0.2442,Low Risk
122,Thelma Murray,1,High Value,120.7,30,14,0.2382,Low Risk
59,Cheryl Murphy,1,High Value,119.76,24,14,0.2751,Low Risk
389,Alan Kahn,1,High Value,119.75,25,14,0.2691,Low Risk
487,Hector Poindexter,2,High Value,119.74,26,14,0.2631,Low Risk
306,Charles Kowalski,1,High Value,119.72,28,14,0.2512,Low Risk
207,Gertrude Castillo,1,High Value,119.72,28,14,0.2512,Low Risk
82,Kathryn Coleman,1,High Value,118.76,24,14,0.2761,Low Risk
589,Tracy Herrmann,1,High Value,118.75,25,14,0.2701,Low Risk
41,Stephanie Mitchell,1,High Value,118.75,25,0,0.2312,Low Risk
565,Jaime Nettles,2,High Value,118.73,27,14,0.2582,Low Risk
35,Virginia Green,2,High Value,118.7,30,14,0.2402,Low Risk
128,Marjorie Tucker,1,High Value,118.7,30,14,0.2402,Low Risk
230,Joy George,2,High Value,118.69,31,14,0.2342,Low Risk
583,Marshall Thorn,1,High Value,117.77,23,14,0.2831,Low Risk
285,Miriam Mckinney,1,High Value,117.77,23,15,0.2859,Low Risk
585,Perry Swafford,1,High Value,117.76,24,0,0.2382,Low Risk
504,Nathaniel Adam,1,High Value,117.75,25,15,0.2739,Low Risk
421,Lee Hawks,1,High Value,117.75,25,0,0.2322,Low Risk
573,Byron Box,1,High Value,117.72,28,14,0.2532,Low Risk
49,Joyce Edwards,2,High Value,116.76,24,14,0.2781,Low Risk
149,Valerie Black,1,High Value,116.75,25,14,0.2721,Low Risk
253,Terry Carlson,1,High Value,116.74,26,14,0.2661,Low Risk
274,Naomi Jennings,1,High Value,116.73,27,0,0.2213,Low Risk
263,Hilda Hopkins,1,High Value,116.73,27,0,0.2213,Low Risk
71,Kathy James,1,High Value,116.72,28,14,0.2542,Low Risk
356,Gerald Fultz,2,High Value,116.71,29,14,0.2482,Low Risk
512,Cecil Vines,1,High Value,115.74,26,0,0.2283,Low Risk
56,Gloria Cook,1,High Value,115.74,26,0,0.2283,Low Risk
529,Erik Guillen,2,High Value,115.72,28,14,0.2552,Low Risk
393,Philip Causey,1,High Value,115.71,29,14,0.2492,Low Risk
158,Veronica Stone,1,High Value,115.7,30,14,0.2432,Low Risk
279,Dianne Shelton,2,High Value,114.76,24,0,0.2412,Low Risk
54,Teresa Rogers,1,High Value,114.74,26,14,0.2681,Low Risk
584,Salvador Teel,2,High Value,114.73,27,14,0.2622,Low Risk
262,Patsy Davidson,2,High Value,114.73,27,14,0.2622,Low Risk
107,Florence Woods,1,High Value,114.72,28,0,0.2173,Low Risk
388,Craig Morrell,2,High Value,114.72,28,0,0.2173,Low Risk
1,Mary Smith,1,High Value,114.7,30,14,0.2442,Low Risk
433,Don Bone,1,High Value,113.77,23,14,0.2871,Low Risk
309,Christopher Greco,1,High Value,113.75,25,14,0.2751,Low Risk
302,Michael Silverman,1,High Value,113.74,26,14,0.2691,Low Risk
266,Nora Herrera,2,High Value,113.74,26,14,0.2691,Low Risk
139,Amber Dixon,1,High Value,113.73,27,14,0.2632,Low Risk
569,Dave Gardiner,2,High Value,113.73,27,14,0.2632,Low Risk
416,Jeffery Pinson,2,High Value,113.72,28,14,0.2572,Low Risk
314,George Linton,1,High Value,113.71,29,14,0.2512,Low Risk
260,Christy Vargas,1,High Value,113.7,30,14,0.2452,Low Risk
540,Tyrone Asher,1,High Value,112.76,24,14,0.2821,Low Risk
582,Andy Vanhorn,2,High Value,112.76,24,0,0.2432,Low Risk
63,Ashley Richardson,1,High Value,112.75,25,14,0.2761,Low Risk
32,Amy Lopez,1,High Value,112.74,26,14,0.2701,Low Risk
131,Monica Hicks,2,High Value,112.73,27,14,0.2642,Low Risk
485,Clyde Tobias,1,High Value,112.72,28,14,0.2582,Low Risk
453,Calvin Martel,1,High Value,111.77,23,14,0.2891,Low Risk
225,Arlene Harvey,1,High Value,111.76,24,14,0.2831,Low Risk
337,Jerry Jordon,1,High Value,111.76,24,0,0.2442,Low Risk
577,Clifton Malcolm,2,High Value,111.74,26,15,0.2739,Low Risk
579,Daryl Larue,2,High Value,111.73,27,0,0.2263,Low Risk
173,Audrey Ray,1,High Value,111.73,27,14,0.2652,Low Risk
113,Cindy Fisher,2,High Value,111.73,27,14,0.2652,Low Risk
186,Holly Fox,2,High Value,111.71,29,0,0.2143,Low Risk
592,Terrance Roush,1,High Value,111.71,29,0,0.2143,Low Risk
42,Carolyn Perez,2,High Value,111.71,29,0,0.2143,Low Risk
531,Jamie Waugh,2,High Value,110.77,23,14,0.2901,Low Risk
495,Charlie Bess,2,High Value,110.76,24,0,0.2452,Low Risk
258,Myrtle Fleming,1,High Value,110.76,24,14,0.2841,Low Risk
515,Andre Rapp,1,High Value,110.74,26,14,0.2721,Low Risk
154,Michele Grant,2,High Value,110.73,27,14,0.2662,Low Risk
213,Gina Williamson,1,High Value,110.73,27,0,0.2273,Low Risk
559,Everett Banda,2,Mid Value,110.72,28,14,0.2602,Low Risk
90,Ruby Washington,2,Mid Value,110.72,28,14,0.2602,Low Risk
595,Terrence Gunderson,1,Mid Value,110.71,29,14,0.2542,Low Risk
241,Heidi Larson,2,Mid Value,110.68,32,14,0.2362,Low Risk
536,Fernando Churchill,2,Mid Value,109.77,23,14,0.2911,Low Risk
170,Beatrice Arnold,1,Mid Value,109.77,23,14,0.2911,Low Risk
575,Isaac Oglesby,2,Mid Value,109.76,24,14,0.2851,Low Risk
220,Charlene Alvarez,2,Mid Value,109.75,25,14,0.2791,Low Risk
16,Sandra Martin,2,Mid Value,109.75,25,14,0.2791,Low Risk
447,Clifford Bowens,1,Mid Value,109.73,27,14,0.2672,Low Risk
376,Randy Gaither,1,Mid Value,109.73,27,14,0.2672,Low Risk
538,Ted Breaux,2,Mid Value,109.73,27,14,0.2672,Low Risk
386,Todd Tan,1,Mid Value,109.72,28,14,0.2612,Low Risk
481,Herman Devore,1,Mid Value,109.72,28,14,0.2612,Low Risk
446,Theodore Culp,2,Mid Value,109.72,28,14,0.2612,Low Risk
424,Kyle Spurlock,2,Mid Value,109.71,29,0,0.2163,Low Risk
284,Sonia Gregory,1,Mid Value,108.78,22,0,0.2592,Low Risk
594,Eduardo Hiatt,1,Mid Value,108.77,23,14,0.2921,Low Risk
590,Seth Hannon,2,Mid Value,108.76,24,0,0.2472,Low Risk
277,Olga Jimenez,2,Mid Value,108.76,24,14,0.2861,Low Risk
334,Raymond Mcwhorter,2,Mid Value,108.75,25,0,0.2412,Low Risk
518,Gabriel Harder,1,Mid Value,108.75,25,15,0.2829,Low Risk
574,Julian Vest,2,Mid Value,108.73,27,14,0.2682,Low Risk
239,Minnie Romero,2,Mid Value,108.72,28,14,0.2622,Low Risk
167,Sally Pierce,2,Mid Value,108.71,29,14,0.2562,Low Risk
293,Mae Fletcher,2,Mid Value,107.79,21,14,0.3051,Low Risk
571,Johnnie Chisholm,2,Mid Value,107.78,22,14,0.2991,Low Risk
427,Jesus Mccartney,2,Mid Value,107.77,23,14,0.2931,Low Risk
332,Stephen Qualls,1,Mid Value,107.74,26,14,0.2751,Low Risk
145,Lucille Holmes,1,Mid Value,107.73,27,14,0.2692,Low Risk
588,Marion Ocampo,1,Mid Value,107.73,27,14,0.2692,Low Risk
441,Mario Cheatham,1,Mid Value,107.73,27,0,0.2303,Low Risk
157,Darlene Rose,2,Mid Value,107.71,29,14,0.2572,Low Risk
254,Maxine Silva,2,Mid Value,107.7,30,14,0.2512,Low Risk
418,Jeff East,2,Mid Value,107.7,30,14,0.2512,Low Risk
91,Lois Butler,2,Mid Value,107.66,34,0,0.1883,Low Risk
477,Dan Paine,1,Mid Value,106.79,21,14,0.3061,Low Risk
240,Marlene Welch,1,Mid Value,106.77,23,15,0.2969,Low Risk
343,Douglas Graf,1,Mid Value,106.77,23,14,0.2941,Low Risk
155,Gail Knight,1,Mid Value,106.76,24,0,0.2492,Low Risk
234,Claudia Fuller,1,Mid Value,106.75,25,0,0.2432,Low Risk
471,Dean Sauer,1,Mid Value,106.74,26,14,0.2761,Low Risk
116,Victoria Gibson,1,Mid Value,106.74,26,14,0.2761,Low Risk
457,Bill Gavin,2,Mid Value,106.73,27,0,0.2313,Low Risk
23,Sarah Lewis,2,Mid Value,106.73,27,0,0.2313,Low Risk
160,Erin Dunn,2,Mid Value,106.73,27,14,0.2702,Low Risk
52,Julie Sanchez,1,Mid Value,106.72,28,0,0.2253,Low Risk
138,Hazel Warren,1,Mid Value,106.68,32,14,0.2402,Low Risk
331,Eric Robert,1,Mid Value,105.78,22,14,0.3011,Low Risk
490,Sam Mcduffie,1,Mid Value,105.78,22,14,0.3011,Low Risk
127,Elaine Stevens,2,Mid Value,105.78,22,14,0.3011,Low Risk
193,Katie Elliott,2,Mid Value,105.77,23,0,0.2562,Low Risk
294,Shelly Watts,2,Mid Value,105.77,23,14,0.2951,Low Risk
58,Jean Bell,1,Mid Value,105.76,24,0,0.2502,Low Risk
400,Bryan Hardison,2,Mid Value,105.76,24,14,0.2891,Low Risk
396,Earl Shanks,1,Mid Value,105.74,26,14,0.2771,Low Risk
40,Amanda Carter,2,Mid Value,105.74,26,14,0.2771,Low Risk
96,Diana Alexander,1,Mid Value,105.73,27,14,0.2712,Low Risk
444,Marcus Hidalgo,2,Mid Value,105.72,28,14,0.2652,Low Risk
28,Cynthia Young,1,Mid Value,105.7,30,0,0.2143,Low Risk
345,Carl Artis,1,Mid Value,104.79,21,14,0.3081,Low Risk
493,Brent Harkins,1,Mid Value,104.78,22,0,0.2632,Low Risk
289,Violet Rodriquez,1,Mid Value,104.76,24,14,0.2901,Low Risk
171,Dolores Wagner,2,Mid Value,104.75,25,14,0.2841,Low Risk
121,Josephine Gomez,1,Mid Value,104.75,25,14,0.2841,Low Risk
407,Dale Ratcliff,1,Mid Value,104.74,26,15,0.2809,Low Risk
31,Brenda Wright,2,Mid Value,104.74,26,14,0.2781,Low Risk
25,Deborah Walker,1,Mid Value,104.73,27,14,0.2722,Low Risk
397,Jimmy Schrader,1,Mid Value,104.72,28,14,0.2662,Low Risk
442,Leroy Bustamante,1,Mid Value,104.71,29,14,0.2602,Low Risk
341,Peter Menard,1,Mid Value,103.78,22,15,0.3059,Low Risk
296,Ramona Hale,2,Mid Value,103.77,23,0,0.2582,Low Risk
280,Tracey Barrett,2,Mid Value,103.77,23,14,0.2971,Low Risk
202,Carla Gutierrez,2,Mid Value,103.74,26,14,0.2791,Low Risk
214,Kristin Johnston,1,Mid Value,103.74,26,0,0.2403,Low Risk
245,Courtney Day,1,Mid Value,103.74,26,0,0.2403,Low Risk
20,Sharon Robinson,2,Mid Value,103.73,27,14,0.2732,Low Risk
408,Manuel Murrell,1,Mid Value,103.73,27,14,0.2732,Low Risk
292,Misty Lambert,2,Mid Value,102.78,22,14,0.3041,Low Risk
553,Max Pitt,1,Mid Value,102.77,23,14,0.2981,Low Risk
510,Ben Easter,2,Mid Value,102.77,23,14,0.2981,Low Risk
587,Sergio Stanfield,1,Mid Value,102.76,24,0,0.2532,Low Risk
98,Lillian Griffin,1,Mid Value,102.76,24,14,0.2921,Low Risk
190,Yolanda Weaver,2,Mid Value,102.75,25,0,0.2472,Low Risk
126,Ellen Simpson,1,Mid Value,102.75,25,14,0.2861,Low Risk
44,Marie Turner,1,Mid Value,101.79,21,0,0.2722,Low Risk
466,Leo Ebert,1,Mid Value,101.78,22,14,0.3051,Low Risk
100,Robin Hayes,1,Mid Value,101.77,23,0,0.2602,Low Risk
593,Rene Mcalister,2,Mid Value,101.76,24,14,0.2931,Low Risk
405,Leonard Schofield,1,Mid Value,101.7,30,0,0.2183,Low Risk
486,Glen Talbert,1,Mid Value,100.77,23,14,0.3001,Low Risk
572,Sidney Burleson,1,Mid Value,100.76,24,14,0.2941,Low Risk
517,Brad Mccurdy,2,Mid Value,100.76,24,14,0.2941,Low Risk
219,Willie Howell,2,Mid Value,100.75,25,0,0.2492,Low Risk
251,Vickie Brewer,2,Mid Value,100.75,25,0,0.2492,Low Risk
135,Juanita Mason,2,Mid Value,100.72,28,0,0.2313,Low Risk
519,Ron Deluca,2,Mid Value,99.78,22,14,0.3071,Low Risk
11,Lisa Anderson,2,Mid Value,99.77,23,0,0.2622,Low Risk
297,Sherri Rhodes,1,Mid Value,99.74,26,14,0.2831,Low Risk
57,Evelyn Morgan,2,Mid Value,99.74,26,14,0.2831,Low Risk
563,Ken Prewitt,2,Mid Value,99.73,27,15,0.2799,Low Risk
503,Angel Barclay,1,Mid Value,99.72,28,14,0.2712,Low Risk
452,Tom Milner,1,Mid Value,99.71,29,0,0.2263,Low Risk
381,Bobby Boudreau,2,Mid Value,99.68,32,14,0.2472,Low Risk
19,Ruth Martinez,1,Mid Value,98.82,18,14,0.3321,Medium Risk
329,Frank Waggoner,2,Mid Value,98.77,23,14,0.3021,Low Risk
537,Clinton Buford,2,Mid Value,98.76,24,0,0.2572,Low Risk
175,Annette Olson,1,Mid Value,98.76,24,0,0.2572,Low Risk
374,Jeremy Hurtado,2,Mid Value,98.75,25,0,0.2512,Low Risk
264,Gwendolyn May,1,Mid Value,98.75,25,0,0.2512,Low Risk
425,Francis Sikes,2,Mid Value,98.75,25,14,0.2901,Low Risk
580,Ross Grey,1,Mid Value,98.74,26,14,0.2841,Low Risk
367,Adam Gooch,1,Mid Value,97.8,20,14,0.3211,Low Risk
65,Rose Howard,2,Mid Value,97.8,20,14,0.3211,Low Risk
460,Leon Bostic,1,Mid Value,97.79,21,15,0.3179,Low Risk
562,Wallace Slone,1,Mid Value,97.78,22,16,0.3147,Low Risk
192,Laurie Lawrence,1,Mid Value,97.78,22,0,0.2702,Low Risk
409,Rodney Moeller,2,Mid Value,97.78,22,14,0.3091,Low Risk
475,Pedro Chestnut,2,Mid Value,97.78,22,14,0.3091,Low Risk
123,Shannon Freeman,2,Mid Value,97.77,23,14,0.3031,Low Risk
581,Virgil Wofford,1,Mid Value,97.75,25,14,0.2911,Low Risk
256,Mabel Holland,2,Mid Value,97.75,25,14,0.2911,Low Risk
269,Cassandra Walters,1,Mid Value,96.79,21,0,0.2772,Low Risk
268,Nina Soto,1,Mid Value,96.79,21,14,0.3161,Low Risk
379,Carlos Coughlin,1,Mid Value,96.79,21,14,0.3161,Low Risk
352,Albert Crouse,1,Mid Value,96.78,22,0,0.2712,Low Risk
83,Louise Jenkins,1,Mid Value,96.78,22,0,0.2712,Low Risk
414,Vincent Ralston,1,Mid Value,96.77,23,14,0.3041,Low Risk
14,Betty White,2,Mid Value,96.77,23,0,0.2652,Low Risk
317,Edward Baugh,2,Mid Value,96.76,24,0,0.2592,Low Risk
286,Velma Lucas,1,Mid Value,96.76,24,14,0.2981,Low Risk
445,Micheal Forman,1,Mid Value,96.76,24,14,0.2981,Low Risk
500,Reginald Kinder,1,Mid Value,96.75,25,14,0.2921,Low Risk
422,Melvin Ellington,1,Mid Value,96.75,25,0,0.2532,Low Risk
74,Denise Kelly,1,Mid Value,96.74,26,14,0.2861,Low Risk
554,Dwayne Olvera,1,Mid Value,95.8,20,33,0.3759,Medium Risk
578,Willard Lumpkin,2,Mid Value,95.79,21,14,0.3171,Low Risk
106,Connie Wallace,1,Mid Value,95.79,21,14,0.3171,Low Risk
541,Darren Windham,2,Mid Value,95.78,22,14,0.3111,Low Risk
324,Gary Coy,2,Mid Value,95.78,22,0,0.2722,Low Risk
180,Stacy Cunningham,2,Mid Value,95.78,22,0,0.2722,Low Risk
488,Shane Millard,2,Mid Value,95.78,22,14,0.3111,Low Risk
339,Walter Perryman,2,Mid Value,95.76,24,14,0.2991,Low Risk
199,Beth Franklin,2,Mid Value,95.76,24,0,0.2602,Low Risk
456,Ronnie Ricketts,2,Mid Value,95.76,24,15,0.3019,Low Risk
132,Esther Crawford,2,Mid Value,95.72,28,17,0.2835,Low Risk
22,Laura Rodriguez,1,Mid Value,94.81,19,0,0.2912,Low Risk
68,Nicole Peterson,1,Mid Value,94.78,22,14,0.3121,Low Risk
150,Danielle Daniels,2,Mid Value,94.78,22,14,0.3121,Low Risk
276,Brandy Graves,1,Mid Value,94.77,23,14,0.3061,Low Risk
546,Kelly Knott,1,Mid Value,94.76,24,14,0.3001,Low Risk
10,Dorothy Taylor,1,Mid Value,94.76,24,14,0.3001,Low Risk
153,Suzanne Nichols,2,Mid Value,94.76,24,14,0.3001,Low Risk
161,Geraldine Perkins,1,Mid Value,94.76,24,14,0.3001,Low Risk
111,Carmen Owens,1,Mid Value,94.75,25,0,0.2552,Low Risk
321,Kevin Schuler,1,Mid Value,93.83,17,14,0.3431,Medium Risk
432,Edwin Burk,1,Mid Value,93.8,20,14,0.3251,Low Risk
528,Claude Herzog,1,Mid Value,93.8,20,14,0.3251,Low Risk
319,Ronald Weiner,2,Mid Value,93.79,21,14,0.3191,Low Risk
443,Francisco Skidmore,2,Mid Value,93.79,21,14,0.3191,Low Risk
105,Dawn Sullivan,1,Mid Value,93.78,22,14,0.3131,Low Risk
336,Joshua Mark,1,Mid Value,93.78,22,0,0.2742,Low Risk
385,Phillip Holm,1,Mid Value,93.76,24,14,0.3011,Low Risk
383,Martin Bales,1,Mid Value,93.75,25,14,0.2951,Low Risk
229,Tamara Nguyen,1,Mid Value,93.75,25,0,0.2562,Low Risk
12,Nancy Thomas,1,Mid Value,93.74,26,14,0.2891,Low Risk
377,Howard Fortner,1,Mid Value,93.74,26,14,0.2891,Low Risk
47,Frances Parker,1,Mid Value,92.81,19,14,0.3321,Medium Risk
307,Joseph Joy,2,Mid Value,92.8,20,14,0.3261,Low Risk
544,Cody Nolen,2,Mid Value,92.8,20,14,0.3261,Low Risk
81,Andrea Henderson,1,Mid Value,92.79,21,14,0.3201,Low Risk
365,Bruce Schwarz,2,Mid Value,92.79,21,14,0.3201,Low Risk
511,Chester Benner,1,Mid Value,92.78,22,14,0.3141,Low Risk
431,Joel Francisco,2,Mid Value,92.78,22,0,0.2752,Low Risk
516,Elmer Noe,2,Mid Value,92.76,24,0,0.2632,Low Risk
182,Renee Lane,1,Mid Value,92.76,24,16,0.3077,Low Risk
474,Dustin Gillette,2,Mid Value,92.75,25,0,0.2572,Low Risk
275,Carole Barnett,2,Mid Value,92.75,25,14,0.2961,Low Risk
188,Melanie Armstrong,1,Mid Value,92.75,25,0,0.2572,Low Risk
505,Rafael Abney,1,Mid Value,91.81,19,0,0.2942,Low Risk
489,Ricardo Meador,1,Mid Value,91.81,19,14,0.3331,Medium Risk
